message,link,permalink_url,created_time,type,name,id,shares/count,reactions/summary/total_count,reactions/summary/viewer_reaction,likes/summary/total_count,likes/summary/can_like,likes/summary/has_liked,comments/summary/order,comments/summary/total_count,comments/summary/can_comment
"麥當勞地產大亨得獎人全台陸續開出囉！快看誰的好運擋不住？
HP TouchSmart 610 23吋人體工學觸控電腦：宜蘭縣許先生；SEIKO Premier人動電能萬年曆腕錶：高雄市李先生；遠傳HTC One X門號優惠組合：新北市游小姐、台北市林小姐；XBOX360 + KINECT 250G遊戲組合：桃園縣陳先生、台中市苑小姐還有更多更大的獎項尚未開出，麥當勞保證一件不留！下一次讓麥當勞粉絲團大聲報出你的名字吧！http://www.mcdonalds.com.tw/Campaign_201206_12245/",https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/415487321827291/?type=3,https://www.facebook.com/mcdonalds.tw/posts/415487341827289:0,2012-06-25T07:35:34+0000,photo,Timeline Photos,101615286547831_415487321827291,92,820,NONE,820,false,false,chronological,83,false
"麥當勞地產大亨~最後大獎有可能沒送出嗎？
不‧可‧能！因為今年多了『機會』貼紙，所有沒被兌換的大獎，就從機會貼紙玩家中抽出，大獎保證全數送出！只要機會貼紙在手，機會無窮！
http://www.mcdonalds.com.tw/Campaign_201206_12245/",https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/411685955540761/?type=3,https://www.facebook.com/mcdonalds.tw/posts/411685972207426:0,2012-06-18T04:20:55+0000,photo,Timeline Photos,101615286547831_411685955540761,41,705,NONE,705,false,false,chronological,86,false
"請問省錢達人：什麼時候吃麥當勞最超值？
早餐吃超值早餐，午餐吃超值午餐，下午茶可以用甜心卡，宵夜有大薯買一送一，現在還有『超值晚餐』新登場，天天享超值午餐價＄79起！到麥當勞24hrs怎麼吃都超值耶！(大心)
http://www.mcdonalds.com.tw/#/news_valuedinner",https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/410181159024574/?type=3,https://www.facebook.com/mcdonalds.tw/posts/410181175691239:0,2012-06-15T08:26:08+0000,photo,Timeline Photos,101615286547831_410181159024574,1471,6594,NONE,6594,false,false,chronological,135,false
"臉書上一定有你想約、又不好意思開口約的朋友吧？！
現在麥當勞給你個好招，『漂浮系列』限期新口味，第二杯半價！酷紫黑加麗、冰橙鳳芒、沁紅戀果、粉紅蜜桃，4種口味任你們配！快約他出來，讓感情升溫吧！
http://www.mcdonalds.com.tw/#/news_McFloat",https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/402169036492453/?type=3,https://www.facebook.com/mcdonalds.tw/posts/402169059825784:0,2012-06-01T04:40:10+0000,photo,Timeline Photos,101615286547831_402169036492453,714,2198,NONE,2198,false,false,chronological,83,false
"麥當勞地產大亨回來了！今年大獎升級玩更大！
吃份套餐，蒐集指定貼紙，就換到超豪華大獎『200萬信用卡刷卡金』、『160萬金/鑽飾』、『百萬休旅車』，還有『雙人搭豪華郵輪到阿拉斯加』…超過470萬份獎品，想升格大亨就趁現在！
詳情請見官網
http://www.mcdonalds.com.tw/Campaign_201206_12245/",https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/400834566625900/?type=3,https://www.facebook.com/mcdonalds.tw/posts/400834583292565:0,2012-05-30T04:10:59+0000,photo,Timeline Photos,101615286547831_400834566625900,413,1793,NONE,1793,false,false,chronological,157,false
"如果你中了『24hr歡樂送來電樂透』，你會怎麼花獎金6萬？
有圖有真相，贏家高雄林小姐：『我要請媽媽吃母親節大餐！』台北毛老師：『把獎金拿出來和所有當天訂餐的人一起分享去吃大餐！』…目前已經有9位得獎者囉，還不快打歡樂送專線40-666-888，搶當下一個得獎者啊！
http://www.mcdonalds.com.tw/campaign_201205_12354/",https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/389443671098323/?type=3,https://www.facebook.com/mcdonalds.tw/posts/389443694431654:0,2012-05-11T11:48:44+0000,photo,Timeline Photos,101615286547831_389443671098323,32,733,NONE,733,false,false,chronological,60,false
"什麼事情讓你盡情享受，天塌下來也不管？和情人講電話？看電影？還是吃麥脆鷄？
一咬開酥脆外皮，裡面鮮嫩又多汁，讓人過癮到渾然忘我…一定要吃到剩骨頭才回神啊！
http://www.mcdonalds.com.tw/#/news_mccrispy",https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/384101638299193/?type=3,https://www.facebook.com/mcdonalds.tw/posts/383047688404588:1,2012-05-03T03:17:04+0000,photo,Timeline Photos,101615286547831_384101638299193,97,1800,NONE,1800,false,false,chronological,73,false
"你不是不下線，只是得了『上網不摸一下不行』的病？可是到了肚子餓的時候，怎樣才能不打斷上網樂趣？浩角翔起推薦麥當勞歡樂送，只要一通電話40-666-888，不用下線出門，餐點就已經方便送到家，還有機會天天中6萬，這個讚吧？！
http://www.mcdonalds.com.tw/campaign_201205_12354/",https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/383047665071257/?type=3,https://www.facebook.com/mcdonalds.tw/posts/383047688404588:0,2012-05-02T03:33:45+0000,photo,Timeline Photos,101615286547831_383047665071257,58,715,NONE,715,false,false,chronological,34,false
"這暑假想不想帶孩子去倫敦，現場感受2012奧運賽事？
現在快幫孩子報名『2012麥當勞小桂冠親子路跑賽』，一起動起來，就有機會讓麥當勞送你們到倫敦，拓展孩子的世界觀，參與奧運盛會！
http://www.mcdonalds.com.tw/Olympickids/2012/",https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/381810431861647/?type=3,https://www.facebook.com/mcdonalds.tw/posts/381810448528312:0,2012-04-30T09:00:05+0000,photo,Timeline Photos,101615286547831_381810431861647,35,336,NONE,336,false,false,chronological,14,false
"誰是你FB好友心中的甜心教主? 
不管對誰都善體人意，見到朋友累了、渇了，一定給甜頭！這時候一定得用甜心卡，買A就送B，為朋友打氣，不用多花費！讓你輕鬆成為好友最愛的甜心！
http://www.mcdonalds.com.tw/#/news_dessertcard",https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/372341092808581/?type=3,https://www.facebook.com/mcdonalds.tw/posts/372341109475246:0,2012-04-17T12:00:40+0000,photo,Timeline Photos,101615286547831_372341092808581,856,4089,NONE,4089,false,false,chronological,222,false
天氣熱起來了，麥當勞隨時準備好冰鎮透的洋香瓜，甜蜜蜜的、口感細膩，而且充滿水份，滑進喉嚨的那一煞那，太清涼過癮啦！下次就來麥當勞解渴消暑吧！,https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/368947379814619/?type=3,https://www.facebook.com/mcdonalds.tw/posts/368932729816084:1,2012-04-14T05:15:23+0000,photo,Timeline Photos,101615286547831_368947379814619,47,1698,NONE,1698,false,false,chronological,49,false
